date,division,district,admissions,source,is_estimated
2022-07-02,Rangpur,Nilphamari,0.0,dghs_pdf,False
2022-07-02,Rangpur,Panchagarh,0.0,dghs_pdf,False
2022-07-02,Rangpur,Rangpur,0.0,dghs_pdf,False
2022-07-02,Rangpur,Thakurgaon,0.0,dghs_pdf,False
2022-07-02,Sylhet,Habiganj,0.0,dghs_pdf,False
2022-07-02,Sylhet,Moulvibazar,0.0,dghs_pdf,False
2022-07-02,Sylhet,Sunamganj,0.0,dghs_pdf,False
2022-07-02,Sylhet,Sylhet,0.0,dghs_pdf,False
2022-07-03,Barishal,Barguna,0.0,dghs_pdf,False
2022-07-03,Barishal,Barishal,0.0,dghs_pdf,False
2022-07-03,Barishal,Bhola,4.0,dghs_pdf,False
2022-07-03,Barishal,Jhalokati,0.0,dghs_pdf,False
2022-07-03,Barishal,Patuakhali,0.0,dghs_pdf,False
2022-07-03,Barishal,Pirojpur,0.0,dghs_pdf,False
2022-07-03,Chattogram,Bandarban,0.0,dghs_pdf,False
2022-07-03,Chattogram,Brahmanbaria,0.0,dghs_pdf,False
2022-07-03,Chattogram,Chandpur,0.0,dghs_pdf,False
2022-07-03,Chattogram,Chattogram,5.0,dghs_pdf,False
2022-07-03,Chattogram,Cox's Bazar,0.0,dghs_pdf,False
2022-07-03,Chattogram,Cumilla,0.0,dghs_pdf,False
2022-07-03,Chattogram,Feni,0.0,dghs_pdf,False
2022-07-03,Chattogram,Khagrachhari,0.0,dghs_pdf,False
2022-07-03,Chattogram,Lakshmipur,0.0,dghs_pdf,False
2022-07-03,Chattogram,Noakhali,0.0,dghs_pdf,False
2022-07-03,Chattogram,Rangamati,0.0,dghs_pdf,False
2022-07-03,Dhaka,Dhaka,32.0,dghs_pdf,False
2022-07-03,Dhaka,Faridpur,0.0,dghs_pdf,False
2022-07-03,Dhaka,Gazipur,0.0,dghs_pdf,False
2022-07-03,Dhaka,Gopalganj,0.0,dghs_pdf,False
2022-07-03,Dhaka,Kishoreganj,0.0,dghs_pdf,False
2022-07-03,Dhaka,Madaripur,0.0,dghs_pdf,False
2022-07-03,Dhaka,Manikganj,0.0,dghs_pdf,False
2022-07-03,Dhaka,Munshiganj,0.0,dghs_pdf,False
2022-07-03,Dhaka,Narayanganj,0.0,dghs_pdf,False
2022-07-03,Dhaka,Narsingdi,0.0,dghs_pdf,False
2022-07-03,Dhaka,Rajbari,0.0,dghs_pdf,False
2022-07-03,Dhaka,Shariatpur,0.0,dghs_pdf,False
2022-07-03,Dhaka,Tangail,0.0,dghs_pdf,False
2022-07-03,Khulna,Bagerhat,0.0,dghs_pdf,False
2022-07-03,Khulna,Chuadanga,0.0,dghs_pdf,False
2022-07-03,Khulna,Jashore,0.0,dghs_pdf,False
2022-07-03,Khulna,Jhenaidah,0.0,dghs_pdf,False
2022-07-03,Khulna,Khulna,0.0,dghs_pdf,False
2022-07-03,Khulna,Kushtia,0.0,dghs_pdf,False
2022-07-03,Khulna,Magura,0.0,dghs_pdf,False
2022-07-03,Khulna,Meherpur,0.0,dghs_pdf,False
2022-07-03,Khulna,Narail,0.0,dghs_pdf,False
2022-07-03,Khulna,Satkhira,0.0,dghs_pdf,False
2022-07-03,Mymensingh,Jamalpur,0.0,dghs_pdf,False
2022-07-03,Mymensingh,Mymensingh,1.0,dghs_pdf,False
2022-07-03,Mymensingh,Netrokona,0.0,dghs_pdf,False
2022-07-03,Mymensingh,Sherpur,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Bogura,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Chapai Nawabganj,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Joypurhat,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Naogaon,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Natore,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Pabna,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Rajshahi,0.0,dghs_pdf,False
2022-07-03,Rajshahi,Sirajganj,0.0,dghs_pdf,False
2022-07-03,Rangpur,Dinajpur,0.0,dghs_pdf,False
2022-07-03,Rangpur,Gaibandha,0.0,dghs_pdf,False
2022-07-03,Rangpur,Kurigram,0.0,dghs_pdf,False
2022-07-03,Rangpur,Lalmonirhat,0.0,dghs_pdf,False
2022-07-03,Rangpur,Nilphamari,0.0,dghs_pdf,False
2022-07-03,Rangpur,Panchagarh,0.0,dghs_pdf,False
2022-07-03,Rangpur,Rangpur,0.0,dghs_pdf,False
2022-07-03,Rangpur,Thakurgaon,0.0,dghs_pdf,False
2022-07-03,Sylhet,Habiganj,0.0,dghs_pdf,False
2022-07-03,Sylhet,Moulvibazar,0.0,dghs_pdf,False
2022-07-03,Sylhet,Sunamganj,0.0,dghs_pdf,False
2022-07-03,Sylhet,Sylhet,0.0,dghs_pdf,False
2022-07-04,Barishal,Barguna,0.0,dghs_pdf,False
2022-07-04,Barishal,Barishal,0.0,dghs_pdf,False
2022-07-04,Barishal,Bhola,0.0,dghs_pdf,False
2022-07-04,Barishal,Jhalokati,0.0,dghs_pdf,False
2022-07-04,Barishal,Patuakhali,0.0,dghs_pdf,False
2022-07-04,Barishal,Pirojpur,0.0,dghs_pdf,False
2022-07-04,Chattogram,Bandarban,0.0,dghs_pdf,False
2022-07-04,Chattogram,Brahmanbaria,0.0,dghs_pdf,False
2022-07-04,Chattogram,Chandpur,0.0,dghs_pdf,False
2022-07-04,Chattogram,Chattogram,3.0,dghs_pdf,False
2022-07-04,Chattogram,Cox's Bazar,0.0,dghs_pdf,False
2022-07-04,Chattogram,Cumilla,0.0,dghs_pdf,False
2022-07-04,Chattogram,Feni,0.0,dghs_pdf,False
2022-07-04,Chattogram,Khagrachhari,0.0,dghs_pdf,False
2022-07-04,Chattogram,Lakshmipur,0.0,dghs_pdf,False
2022-07-04,Chattogram,Noakhali,0.0,dghs_pdf,False
2022-07-04,Chattogram,Rangamati,0.0,dghs_pdf,False
2022-07-04,Dhaka,Dhaka,31.0,dghs_pdf,False
2022-07-04,Dhaka,Faridpur,0.0,dghs_pdf,False
2022-07-04,Dhaka,Gazipur,0.0,dghs_pdf,False
2022-07-04,Dhaka,Gopalganj,0.0,dghs_pdf,False
2022-07-04,Dhaka,Kishoreganj,0.0,dghs_pdf,False
2022-07-04,Dhaka,Madaripur,0.0,dghs_pdf,False
2022-07-04,Dhaka,Manikganj,0.0,dghs_pdf,False
2022-07-04,Dhaka,Munshiganj,0.0,dghs_pdf,False
2022-07-04,Dhaka,Narayanganj,0.0,dghs_pdf,False
2022-07-04,Dhaka,Narsingdi,0.0,dghs_pdf,False
2022-07-04,Dhaka,Rajbari,0.0,dghs_pdf,False
2022-07-04,Dhaka,Shariatpur,0.0,dghs_pdf,False
2022-07-04,Dhaka,Tangail,0.0,dghs_pdf,False
2022-07-04,Khulna,Bagerhat,0.0,dghs_pdf,False
2022-07-04,Khulna,Chuadanga,0.0,dghs_pdf,False
2022-07-04,Khulna,Jashore,0.0,dghs_pdf,False
2022-07-04,Khulna,Jhenaidah,0.0,dghs_pdf,False
2022-07-04,Khulna,Khulna,0.0,dghs_pdf,False
2022-07-04,Khulna,Kushtia,0.0,dghs_pdf,False
2022-07-04,Khulna,Magura,0.0,dghs_pdf,False
2022-07-04,Khulna,Meherpur,0.0,dghs_pdf,False
2022-07-04,Khulna,Narail,2.0,dghs_pdf,False
2022-07-04,Khulna,Satkhira,0.0,dghs_pdf,False
2022-07-04,Mymensingh,Jamalpur,0.0,dghs_pdf,False
